License,Name,Street,City,State,Zip,Country,Email,Website,Type,Phone,Enrolled in subsidized program
63000461,ANGEL EYES HOME DAY CARE,800 HARRIS STREET,ABERDEEN,NC,28315,Moore,jbrooksf@aol.com,,Family Child Care Home,(910) 315-8700,Yes
63000504,ANNA'S LITTLE ANGELS FCCH,104 MEREDITH DRIVE,ABERDEEN,NC,28315,Moore,gidget1230@gmail.com,,Family Child Care Home,(910) 986-9391,No
63000477,BUNDLES OF JOY FCCH,612 B THOMAS AVENUE,ABERDEEN,NC,28315,Moore,boj110714@yahoo.com,,Family Child Care Home,(910) 987-6411,Yes
63000464,"COUNTRY KIDS PRESCHOOL & CHILDCARE, LLC",154 KIRK ROAD,ABERDEEN,NC,28315,Moore,lhope922@yahoo.com,,Child Care Center,(910) 281-0266,Yes
63000491,FUTURE PROMISES CHILDCARE CENTER,206 KEYSER STREET,ABERDEEN,NC,28315,Moore,amurchison74@gmail.com,,Child Care Center,(910) 722-6971,Yes
63000230,JANIE'S PLAYHOUSE DAY CARE,608 KEYSER ST,ABERDEEN,NC,28315,Moore,nikamay@gmail.com,,Child Care Center,(910) 944-3595,Yes
6350919,KIDDIE KORNER #1,503 JOHNSON STREET,ABERDEEN,NC,28315,Moore,kiddiekorner@windstream.net,,Child Care Center,(910) 944-1246,Yes
6355022,KIDDIE KORNER DAY CARE II,503 JOHNSON STREET,ABERDEEN,NC,28315,Moore,kiddiekorner@windstream.net,,Child Care Center,(910) 944-1246,Yes
6355063,KIDDIE KORNER DAY CARE III,503 JOHNSON STREET,ABERDEEN,NC,28315,Moore,kiddiekorner@windstream.net,,Child Care Center,(910) 944-1246,Yes
63000478,MS. B'S PLAY AND LEARN FCCH,343 MIDWAY ROAD,ABERDEEN,NC,28315,Moore,bsimmonsbusy@gmail.com,,Family Child Care Home,(910) 944-1806,Yes
63000438,MS. GAYLE'S DAY CARE,115 CHAPEL GREENS PLACE,ABERDEEN,NC,28315,Moore,MsGayle4@outlook.com,,Family Child Care Home,(910) 944-3980,Yes
63000127,NETTE'S FUN CARE SMALL DAY CARE HOME,117 STARVIEW RD,ABERDEEN,NC,28315,Moore,spencerag64@yahoo.com,,Family Child Care Home,(910) 944-3162,Yes
63000536,ROW'S SWEET TOTS,605 SANBORN ST,ABERDEEN,NC,28315,Moore,msgalbreath@live.com,,Family Child Care Home,(910) 286-0847,No
63000509,SAVE THE CHILDREN ABERDEEN HEAD START ACADEMY,333 GLASGOW ST,ABERDEEN,NC,28315,Moore,ewashington@savechildren.org,,Child Care Center,(910) 294-6908,No
30000103,DCS SHADY GROVE PRESCHOOL,3179 CORNATZER ROAD,ADVANCE,NC,27006,Davie,nuckollsp@davie.k12.nc.us,,Child Care Center,(336) 998-4719,No
46000054,ACC CHILD CARE CENTER,301 SOUTH ST,AHOSKIE,NC,27910,Hertford,deneanew2@gmail.com,,Child Care Center,(252) 209-0540,Yes
4659000,AHOSKIE FREE WILL BAPTIST CHURCH DAY CARE,500 504 KIWANIS STREET,AHOSKIE,NC,27910,Hertford,ahoskiefwb@gmail.com,,Child Care Center,(252) 332-2764,No
46000151,BE THE CHANGE EDUCATION CENTER,112 PINEWOOD DRIVE,AHOSKIE,NC,27910,Hertford,bethechangeedu@yahoo.com,,Family Child Care Home,(252) 287-5090,No
46000083,BEARFIELD PRIMARY SCHOOL,145 HCHS ROAD,AHOSKIE,NC,27910,Hertford,rbarnes@hertford.k12.nc.us,,Child Care Center,(252) 209-6140,No
46000125,CADA HERTFORD COUNTY HEAD START / EHS CENTER,215 WEST MODLIN ROAD,AHOSKIE,NC,27910,Hertford,awilliams@nc-cada.org,,Child Care Center,(252) 209-8569,Yes
46000150,DAVIS KIDS COLLEGE PHASE II,728 EVANS STREET,AHOSKIE,NC,27910,Hertford,daviskidscollegephase2@yahoo.com,,Child Care Center,(252) 332-4645,Yes
46000138,LEARNING UNLIMITED CHILD CARE CENTER,523 NC HIGHWAY 461,AHOSKIE,NC,27910,Hertford,gwhitaker@integratedfamilyservices.net,,Child Care Center,(252) 209-0302,Yes
46000143,REHOBOTH BABIES,315 SOUTH STREET WEST,AHOSKIE,NC,27910,Hertford,rehobothbabies@gmail.com,,Child Care Center,(252) 209-9139,No
46000057,REHOBOTH EDUCATIONAL SERVICES CHILDCARE PROGRAMS,415 E HOLLOMAN AVE,AHOSKIE,NC,27910,Hertford,tqmelendez@gmail.com,,Child Care Center,(252) 332-8700,Yes
46000063,RIDGECROFT PRE-SCHOOL,420 NC 11 NORTH,AHOSKIE,NC,27910,Hertford,mrose@ridgecroft.org,,Child Care Center,(252) 332-2964,No
46000087,TIM AND DEE G'S HONEY BEES,1521 NC HWY 461,AHOSKIE,NC,27910,Hertford,honeybees072005@yahoo.com,,Family Child Care Home,(252) 332-3000,Yes
46000031,WARDS PRECIOUS DAY CARE,1013 AHOSKIE COFIELD ROAD,AHOSKIE,NC,27910,Hertford,darleneward12@yahoo.com,,Child Care Center,(252) 358-1237,Yes
84000139,A LITTLE PIECE OF HEAVEN,123 MORNINGSIDE AVE,ALBEMARLE,NC,28001,Stanly,heavenly28001@yahoo.com,,Family Child Care Home,(980) 439-3170,Yes
84000272,ALIVIA'S PLAYHOUSE HOME DAYCARE,202 NE CONNECTOR,ALBEMARLE,NC,28001,Stanly,cagle_bridget62@yahoo.com,,Family Child Care Home,(980) 439-4424,Yes
84000286,EAGLES ACADEMY,135 LEONARD AVE,ALBEMARLE,NC,28001,Stanly,eaglesacademyeducationalcenter@gmail.com,,Child Care Center,(704) 550-5496,No
84000267,ENDY SCHOOL PRE-K,27670 BETTY ROAD,ALBEMARLE,NC,28001,Stanly,terri.scott@stanlycountyschools.org,,Child Care Center,(704) 961-3300,No
84000246,"J & S BLESSED DAYCARE II, LLC",1810 BADIN ROAD,ALBEMARLE,NC,28001,Stanly,jands.daycare2@gmail.com,,Child Care Center,(704) 985-0178,Yes
84000162,JUST US KIDS DAY CARE,632 ELIZABETH AVE,ALBEMARLE,NC,28001,Stanly,justuskids86@yahoo.com,,Family Child Care Home,(704) 983-5074,Yes
8451024,KIDDIE KARE DAY CARE CENTER,32479 PENNINGTON RD,ALBEMARLE,NC,28001,Stanly,dpcardwell19@gmail.com,www.KiddieKareOfAlbemarle.com,Child Care Center,(704) 982-2983,Yes
8455037,KIDDIE KARE TOO,438 NORTH FOURTH STREET,ALBEMARLE,NC,28001,Stanly,dpcardwell19@gmail.com.,www.KiddieKareOfAlbemarle.com,Child Care Center,(704) 982-9018,Yes
84000269,KIDS CORNER LEARNING CENTER LLC,608 CONCORD ROAD,ALBEMARLE,NC,28001,Stanly,hollib26@gmail.com,,Child Care Center,(704) 550-9147,Yes
84000182,LITTLE CREATIONS DAY CENTER,1029 EAST MAIN STREET,ALBEMARLE,NC,28001,Stanly,dbrown1057@scc.stanly.edu,,Family Child Care Home,(704) 983-0186,Yes
84000046,LITTLE FRIENDS CHILD DEVELOPMENT CENTER,1210 FREEMAN AVENUE,ALBEMARLE,NC,28001,Stanly,littlefriends1990@gmail.com,,Child Care Center,(704) 983-6610,Yes
84000196,LITTLE ONE'S CHILD DEVELOPMENT CENTER,800 N SECOND STREET,ALBEMARLE,NC,28001,Stanly,littleones@ctc.net,,Child Care Center,(704) 985-1114,Yes
84000270,LOVE-N-CARE II,1302 MOUNTAIN CREEK ROAD,ALBEMARLE,NC,28001,Stanly,summer@love-n-care.com,,Child Care Center,(704) 982-1079,Yes
84000271,LOVE-N-CARE WEST,534 COBLE AVENUE,ALBEMARLE,NC,28001,Stanly,director@love-n-care.com,,Child Care Center,(704) 983-6416,Yes
84000159,ROBINSON DAYCARE,634 MOUNTAIN PL,ALBEMARLE,NC,28001,Stanly,sweetc28001@yahoo.com,,Family Child Care Home,(704) 983-5521,Yes
84000282,SAVE THE CHILDREN ALBEMARLE HEAD START ACADEMY,405 DAVIS ST,ALBEMARLE,NC,28001,Stanly,tholmes@savechildren.org,,Child Care Center,(910) 294-6918,No
84000261,TILLERY ACADEMY,28812 SWEET HOME CHURCH ROAD,ALBEMARLE,NC,28001,Stanly,director@tilleryacademy.com,,Child Care Center,(704) 983-4618,Yes
31000118,B F GRADY PREKINDERGARTEN CENTER,2631 NORTH NC 11 & 903 HWY,ALBERTSON,NC,28508,Duplin,jgoldsby@duplinschools.net,,Child Care Center,(252) 568-9951,No
31000099,NEW BEGINNINGS HOME CHILD CARE,247 GUY SANDERSON RD,ALBERTSON,NC,28508,Duplin,darlenebynum8@gmail.com,,Family Child Care Home,(252) 286-1837,Yes
31000186,WOODLAND PRESCHOOL AND CHILD CARE,2695 TRAM ROAD,ALBERTSON,NC,28508,Duplin,woodlandpreschoolandchildcare@gmail.com,,Child Care Center,(252) 568-4751,No
11000561,ALICIA'S CHILD CARE HOME,1650 JENKINS VALLEY ROAD`,ALEXANDER,NC,28701,Buncombe,aliciaschildcare@live.com,,Family Child Care Home,(828) 275-4714,Yes
69000093,LEARN AS WE GROW,13482 NC HWY 55,ALLIANCE,NC,28509,Pamlico,learnaswegrow13@gmail.com,,Child Care Center,(252) 745-2243,Yes
69000093,LEARN AS WE GROW,13482 NC HWY 55,ALLIANCE,NC,28509,Pamlico,learnaswegrow13@gmail.com,,Child Care Center,(252) 745-2243,Yes
43000060,ANGIER ACADEMY DAY CARE,243 OWENS RD,ANGIER,NC,27501,Harnett,nicolebowling0722@gmail.com,,Family Child Care Home,(919) 639-6051,No
4351943,ANGIER BAPTIST CHURCH DAY CARE,309 HICKORY STREET,ANGIER,NC,27501,Harnett,angierbaptistdaycare@yahoo.com,,Child Care Center,(919) 639-2051,Yes
