License,ADDRESS,LATITUDE,LONGITUDE,Name,Street,City,State,Zip,Country,Email,Website,Type,Phone,subsidized,ImageFile
63000461,"800, Harris Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.122784,-79.424123,ANGEL EYES HOME DAY CARE,800 HARRIS STREET,ABERDEEN,NC,28315,Moore,jbrooksf@aol.com,,Family Child Care Home,(910) 315-8700,Yes,/static/images/felipe-ferreira-XJhQqIqSwFg-unsplash.jpg
63000477,"Thomas Avenue, Aberdeen, Moore County, North Carolina, 28315, United States",35.14016,-79.429642,BUNDLES OF JOY FCCH,612 B THOMAS AVENUE,ABERDEEN,NC,28315,Moore,boj110714@yahoo.com,,Family Child Care Home,(910) 987-6411,Yes,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
63000491,"206, Keyser Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.12728855,-79.42356166,FUTURE PROMISES CHILDCARE CENTER,206 KEYSER STREET,ABERDEEN,NC,28315,Moore,amurchison74@gmail.com,,Child Care Center,(910) 722-6971,Yes,/static/images/baby-1317604_640.jpg
63000230,"608, Keyser Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.12075199,-79.42066203,JANIE'S PLAYHOUSE DAY CARE,608 KEYSER ST,ABERDEEN,NC,28315,Moore,nikamay@gmail.com,,Child Care Center,(910) 944-3595,Yes,/static/images/tanaphong-toochinda-GagC07wVvck-unsplash.jpg
6350919,"503, Johnson Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.15481648,-79.41982303,KIDDIE KORNER #1,503 JOHNSON STREET,ABERDEEN,NC,28315,Moore,kiddiekorner@windstream.net,,Child Care Center,(910) 944-1246,Yes,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
6355022,"503, Johnson Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.15481648,-79.41982303,KIDDIE KORNER DAY CARE II,503 JOHNSON STREET,ABERDEEN,NC,28315,Moore,kiddiekorner@windstream.net,,Child Care Center,(910) 944-1246,Yes,/static/images/felipe-ferreira-XJhQqIqSwFg-unsplash.jpg
6355063,"503, Johnson Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.15481648,-79.41982303,KIDDIE KORNER DAY CARE III,503 JOHNSON STREET,ABERDEEN,NC,28315,Moore,kiddiekorner@windstream.net,,Child Care Center,(910) 944-1246,Yes,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
63000478,"343, Midway Road, Aberdeen, Moore County, North Carolina, 28315, United States",35.14398962,-79.41407375,MS. B'S PLAY AND LEARN FCCH,343 MIDWAY ROAD,ABERDEEN,NC,28315,Moore,bsimmonsbusy@gmail.com,,Family Child Care Home,(910) 944-1806,Yes,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
63000438,"115, Chapel Greens Place, Aberdeen, Moore County, North Carolina, 28315, United States",35.12555595,-79.41391409,MS. GAYLE'S DAY CARE,115 CHAPEL GREENS PLACE,ABERDEEN,NC,28315,Moore,MsGayle4@outlook.com,,Family Child Care Home,(910) 944-3980,Yes,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
63000127,"117, Starview Road, Aberdeen, Moore County, North Carolina, 28315, United States",35.11670427,-79.41839521,NETTE'S FUN CARE SMALL DAY CARE HOME,117 STARVIEW RD,ABERDEEN,NC,28315,Moore,spencerag64@yahoo.com,,Family Child Care Home,(910) 944-3162,Yes,/static/images/baby-1317604_640.jpg
